model,query_id,query,family,language,extra_docs,trial,pool_docs,top1_score,top10_mean_score,iaea_priority_top10,first_iaea_rank
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,25,5,38,0.2950652241706848,0.2043524533510208,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,25,6,38,0.2950652241706848,0.21027405560016632,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,25,7,38,0.2950652241706848,0.20905852317810059,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,25,8,38,0.2950652241706848,0.2132555991411209,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,25,9,38,0.2950652241706848,0.20914213359355927,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,30,0,43,0.2950652241706848,0.20889465510845184,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,30,1,43,0.2950652241706848,0.20889465510845184,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,30,2,43,0.2950652241706848,0.2162473499774933,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,30,3,43,0.2950652241706848,0.1993432641029358,0.8,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,30,4,43,0.2950652241706848,0.20992636680603027,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,30,5,43,0.2950652241706848,0.2132555991411209,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,30,6,43,0.2950652241706848,0.20829220116138458,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,30,7,43,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,30,8,43,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,30,9,43,0.2950652241706848,0.21511539816856384,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,35,0,48,0.2950652241706848,0.2132555991411209,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,35,1,48,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,35,2,48,0.2950652241706848,0.20905852317810059,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,35,3,48,0.2950652241706848,0.2162473499774933,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,35,4,48,0.2950652241706848,0.2146989107131958,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,35,5,48,0.2950652241706848,0.21044309437274933,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,35,6,48,0.2950652241706848,0.21027405560016632,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,35,7,48,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,35,8,48,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,35,9,48,0.2950652241706848,0.20931117236614227,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,40,0,53,0.2950652241706848,0.20905852317810059,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,40,1,53,0.2950652241706848,0.2132555991411209,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,40,2,53,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,40,3,53,0.2950652241706848,0.20889465510845184,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,40,4,53,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,40,5,53,0.2950652241706848,0.2146989107131958,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,40,6,53,0.2950652241706848,0.20889465510845184,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,40,7,53,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,40,8,53,0.2950652241706848,0.20931117236614227,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,40,9,53,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,45,0,58,0.2950652241706848,0.2132555991411209,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,45,1,58,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,45,2,58,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,45,3,58,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,45,4,58,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,45,5,58,0.2950652241706848,0.2146989107131958,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,45,6,58,0.2950652241706848,0.2132555991411209,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,45,7,58,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,45,8,58,0.2950652241706848,0.2132555991411209,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,45,9,58,0.2950652241706848,0.2162473499774933,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,50,0,63,0.2950652241706848,0.2132555991411209,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,50,1,63,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,50,2,63,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,50,3,63,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,50,4,63,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,50,5,63,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,50,6,63,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,50,7,63,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,50,8,63,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,50,9,63,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,51,0,64,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,51,1,64,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,51,2,64,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,51,3,64,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,51,4,64,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,51,5,64,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,51,6,64,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,51,7,64,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,51,8,64,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,51,9,64,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,0,0,13,0.5049822330474854,0.4382036328315735,1.0,1
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,5,0,18,0.5049822330474854,0.4382036328315735,1.0,1
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,5,1,18,0.5049822330474854,0.4382036328315735,1.0,1
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,5,2,18,0.5049822330474854,0.4451889097690582,0.8,1
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,5,3,18,0.5230472683906555,0.48289957642555237,0.2,4
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,5,4,18,0.5049822330474854,0.44423937797546387,0.8,1
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,5,5,18,0.5049822330474854,0.4386696219444275,0.9,1
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,5,6,18,0.5942859649658203,0.5515881776809692,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,5,7,18,0.5613957643508911,0.4564596116542816,0.8,2
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,5,8,18,0.5049822330474854,0.4382036328315735,1.0,1
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,5,9,18,0.5633959770202637,0.46478158235549927,0.6,2
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,10,0,23,0.5942859649658203,0.5515881776809692,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,10,1,23,0.5633959770202637,0.46478158235549927,0.6,2
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,10,2,23,0.5049822330474854,0.4749133586883545,0.3,1
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,10,3,23,0.5049822330474854,0.4382036328315735,1.0,1
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,10,4,23,0.5049822330474854,0.4499792456626892,0.6,1
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,10,5,23,0.5049822330474854,0.44623056054115295,0.8,1
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,10,6,23,0.5049822330474854,0.4451889097690582,0.8,1
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,10,7,23,0.5942859649658203,0.5552405118942261,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,10,8,23,0.5613957643508911,0.4943554997444153,0.2,3
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,10,9,23,0.5049822330474854,0.4382036328315735,1.0,1
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,15,0,28,0.5049822330474854,0.47283411026000977,0.3,1
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,15,1,28,0.5942859649658203,0.5550404787063599,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,15,2,28,0.5633959770202637,0.481082022190094,0.4,3
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,15,3,28,0.5613957643508911,0.4994649291038513,0.2,5
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,15,4,28,0.5049822330474854,0.4577776789665222,0.6,1
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,15,5,28,0.5942859649658203,0.5550404787063599,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,15,6,28,0.5942859649658203,0.5550404787063599,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,15,7,28,0.5613957643508911,0.49394670128822327,0.2,5
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,15,8,28,0.5613957643508911,0.484844446182251,0.3,2
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,15,9,28,0.5942859649658203,0.5581030249595642,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,20,0,33,0.5942859649658203,0.5550404787063599,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,20,1,33,0.5613957643508911,0.463479220867157,0.5,2
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,20,2,33,0.5942859649658203,0.5550404787063599,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,20,3,33,0.5633959770202637,0.49615025520324707,0.2,5
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,20,4,33,0.5942859649658203,0.5552405118942261,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,20,5,33,0.5942859649658203,0.5581030249595642,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,20,6,33,0.5633959770202637,0.5108377933502197,0.2,6
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,20,7,33,0.5942859649658203,0.5515881776809692,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,20,8,33,0.5613957643508911,0.4994649291038513,0.2,5
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,20,9,33,0.5613957643508911,0.48440295457839966,0.3,2
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,25,0,38,0.5942859649658203,0.5515881776809692,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,25,1,38,0.5942859649658203,0.5552405118942261,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,25,2,38,0.5942859649658203,0.5581030249595642,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,25,3,38,0.5633959770202637,0.49865493178367615,0.2,3
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,25,4,38,0.5942859649658203,0.5550404787063599,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,25,5,38,0.5942859649658203,0.5552405118942261,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,25,6,38,0.5942859649658203,0.5552405118942261,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,25,7,38,0.5942859649658203,0.5552405118942261,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,25,8,38,0.5942859649658203,0.5519160628318787,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,25,9,38,0.5633959770202637,0.49615025520324707,0.2,5
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,30,0,43,0.5613957643508911,0.5122090578079224,0.2,6
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,30,1,43,0.5942859649658203,0.5519160628318787,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,30,2,43,0.5633959770202637,0.5032564401626587,0.2,3
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,30,3,43,0.5633959770202637,0.48919492959976196,0.2,2
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,30,4,43,0.5633959770202637,0.502994179725647,0.2,3
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,30,5,43,0.5301514267921448,0.4852333664894104,0.2,2
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,30,6,43,0.5942859649658203,0.5515881776809692,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,30,7,43,0.5633959770202637,0.5003272294998169,0.2,3
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,30,8,43,0.5942859649658203,0.5550404787063599,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,30,9,43,0.5942859649658203,0.5581030249595642,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,35,0,48,0.5942859649658203,0.5552405118942261,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,35,1,48,0.5633959770202637,0.518401563167572,0.2,7
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,35,2,48,0.5633959770202637,0.5196192860603333,0.1,7
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,35,3,48,0.5942859649658203,0.5550404787063599,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,35,4,48,0.5633959770202637,0.5177611112594604,0.2,7
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,35,5,48,0.5633959770202637,0.5003272294998169,0.2,3
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,35,6,48,0.5942859649658203,0.5581030249595642,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,35,7,48,0.5613957643508911,0.5106378197669983,0.2,6
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,35,8,48,0.5942859649658203,0.5581030249595642,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,35,9,48,0.5942859649658203,0.5581030249595642,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,40,0,53,0.5942859649658203,0.5581030249595642,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,40,1,53,0.5942859649658203,0.5581030249595642,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,40,2,53,0.5942859649658203,0.5581030249595642,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,40,3,53,0.5942859649658203,0.5581030249595642,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,40,4,53,0.5942859649658203,0.5552405118942261,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,40,5,53,0.5942859649658203,0.5581030249595642,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,40,6,53,0.5942859649658203,0.5552405118942261,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,40,7,53,0.5942859649658203,0.5550404787063599,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,40,8,53,0.5942859649658203,0.5515881776809692,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,40,9,53,0.5942859649658203,0.5552405118942261,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,45,0,58,0.5942859649658203,0.5581030249595642,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,45,1,58,0.5942859649658203,0.5581030249595642,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,45,2,58,0.5942859649658203,0.5581030249595642,0.0,11
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,45,3,58,0.5942859649658203,0.5581030249595642,0.0,11
